,Lat,Lon,FRP,Confidence,DNFlag,DT,DS,t,Event_ID
0,39.33155,-75.08472,3.32,N,N,0.3852812900989112,0.36156513398640183,2014-04-24 00:00:00,NJ3932007511020140424
1,39.32826,-75.08556,3.32,N,N,0.3852812900989112,0.36156513398640183,2014-04-24 00:00:00,NJ3932007511020140424
2,39.32758,-75.08112,2.95,N,N,0.38525865901821604,0.36155516182626446,2014-04-24 00:00:00,NJ3932007511020140424
3,39.32428,-75.08195,2.8,N,N,0.38525865901821604,0.36155516182626446,2014-04-24 00:00:00,NJ3932007511020140424
4,39.32497,-75.08639,3.01,N,N,0.3852812900989112,0.36156513398640183,2014-04-24 00:00:00,NJ3932007511020140424
5,30.39434,-82.43263,37.02,L,D,0.4191631046570976,0.37612195627330636,2014-07-07 12:00:00,FL3039608244120140714
6,30.39478,-82.42329,13.28,N,D,0.46321721619972406,0.4740864533522381,2014-07-08 12:00:00,FL3039608244120140714
7,30.39377,-82.42806,7.65,N,D,0.4635219197672124,0.474226015711096,2014-07-08 12:00:00,FL3039608244120140714
8,30.39278,-82.43283,7.65,N,D,0.4638270789322756,0.4743657263273629,2014-07-08 12:00:00,FL3039608244120140714
9,30.39446,-82.42664,7.02,N,D,0.46291296733284826,0.47394703905299557,2014-07-08 12:00:00,FL3039608244120140714
10,30.39343,-82.43139,7.02,N,D,0.46321721619972406,0.4740864533522381,2014-07-08 12:00:00,FL3039608244120140714
11,30.39859,-82.43141,3.64,N,D,0.43290215908414215,0.6205173714371295,2014-07-09 12:00:00,FL3039608244120140714
12,30.39621,-82.41945,3.31,N,D,0.5485708136898109,0.682346540530003,2014-07-09 12:00:00,FL3039608244120140714
13,30.39529,-82.43711,4.87,N,D,0.5472462946562919,0.6817008977842001,2014-07-09 12:00:00,FL3039608244120140714
14,34.5971,-77.66384,2.74,N,D,0.4509713472559658,0.38915968844697924,2014-04-02 12:00:00,NC3458007765020140410
15,34.59041,-77.66335,10.78,N,D,0.3919083882368217,0.3644705175879261,2014-04-03 12:00:00,NC3458007765020140410
16,34.59373,-77.66414,10.78,N,D,0.3919083882368217,0.3644705175879261,2014-04-03 12:00:00,NC3458007765020140410
17,34.60041,-77.63884,0.88,N,N,0.4953896847649391,0.48849992041426105,2014-04-04 00:00:00,NC3458007765020140410
18,34.59047,-77.64168,15.22,N,D,0.5730755562811356,0.43455868057042735,2014-04-04 12:00:00,NC3458007765020140410
19,34.58921,-77.64786,15.22,N,D,0.5735048099569551,0.43470707082541904,2014-04-04 12:00:00,NC3458007765020140410
20,34.59693,-77.6305,36.71,N,D,0.5722195932209276,0.43426256977361244,2014-04-04 12:00:00,NC3458007765020140410
21,34.59566,-77.63668,36.71,N,D,0.5726471513727253,0.4344105136715649,2014-04-04 12:00:00,NC3458007765020140410
22,34.59439,-77.64285,15.22,N,D,0.5730755562811356,0.43455868057042735,2014-04-04 12:00:00,NC3458007765020140410
23,34.59313,-77.64903,15.22,N,D,0.5735048099569551,0.43470707082541904,2014-04-04 12:00:00,NC3458007765020140410
24,34.59832,-77.64403,7.82,N,D,0.5730755562811356,0.43455868057042735,2014-04-04 12:00:00,NC3458007765020140410
25,37.93293,-79.84626,7.11,N,D,0.5247695740906074,0.5011268815708325,2014-05-08 12:00:00,VA3792207984120140507
26,37.92585,-79.83078,1.49,N,N,0.384012112532938,0.3610053476465144,2014-05-09 00:00:00,VA3792207984120140507
27,37.92516,-79.82646,0.65,N,N,0.3840100103180021,0.36100441953215395,2014-05-09 00:00:00,VA3792207984120140507
28,37.92257,-79.8316,0.67,N,N,0.384012112532938,0.3610053476465144,2014-05-09 00:00:00,VA3792207984120140507
29,37.92066,-79.84107,0.8,N,N,0.38401691765842105,0.3610074690672026,2014-05-09 00:00:00,VA3792207984120140507
30,37.91997,-79.83675,0.67,N,N,0.3840144149780015,0.36100636415774123,2014-05-09 00:00:00,VA3792207984120140507
31,37.91928,-79.83244,0.67,N,N,0.384012112532938,0.3610053476465144,2014-05-09 00:00:00,VA3792207984120140507
