,Lat,Lon,FRP,Confidence,DNFlag,DT,DS,t,Event_ID
0,29.28624,-81.15157,170.17,N,D,0.5271996630224332,0.4182784032218511,2013-03-02 12:00:00,FL2929308118020130302
1,29.29009,-81.15215,170.17,H,D,0.5271996630224332,0.4182784032218511,2013-03-02 12:00:00,FL2929308118020130302
2,29.28945,-81.15759,99.52,H,D,0.5268602206864537,0.4181547026457264,2013-03-02 12:00:00,FL2929308118020130302
3,29.2888,-81.16303,99.52,N,D,0.5265214253084437,0.4180311883767392,2013-03-02 12:00:00,FL2929308118020130302
4,29.28816,-81.16847,6.73,N,D,0.5261832755192957,0.41790786015280906,2013-03-02 12:00:00,FL2929308118020130302
5,29.29266,-81.16361,12.03,H,D,0.5265214253084437,0.4180311883767392,2013-03-02 12:00:00,FL2929308118020130302
6,29.29395,-81.15273,13.26,N,D,0.5271996630224332,0.4182784032218511,2013-03-02 12:00:00,FL2929308118020130302
7,29.2933,-81.15816,12.03,N,D,0.5268602206864537,0.4181547026457264,2013-03-02 12:00:00,FL2929308118020130302
8,29.29201,-81.16905,12.04,N,D,0.5261832755192957,0.41790786015280906,2013-03-02 12:00:00,FL2929308118020130302
9,29.29136,-81.17449,12.04,N,D,0.5258457699540772,0.4177847177124923,2013-03-02 12:00:00,FL2929308118020130302
10,29.29586,-81.16962,12.04,H,D,0.5261832755192957,0.41790786015280906,2013-03-02 12:00:00,FL2929308118020130302
11,29.29715,-81.15874,12.03,N,D,0.5268602206864537,0.4181547026457264,2013-03-02 12:00:00,FL2929308118020130302
12,29.29651,-81.16418,12.03,N,D,0.5265214253084437,0.4180311883767392,2013-03-02 12:00:00,FL2929308118020130302
13,29.29521,-81.17506,12.04,N,D,0.5258457699540772,0.4177847177124923,2013-03-02 12:00:00,FL2929308118020130302
14,29.29033,-81.15395,1.13,N,N,0.3915670956762877,0.3643216055960794,2013-03-03 00:00:00,FL2929308118020130302
15,29.28434,-81.15939,1.57,N,N,0.3915109763597454,0.3642971123786532,2013-03-03 00:00:00,FL2929308118020130302
16,29.28101,-81.1601,0.28,N,N,0.3915109763597454,0.3642971123786532,2013-03-03 00:00:00,FL2929308118020130302
17,28.49332,-80.65228,3.09,N,N,0.6100051396790289,0.7109536605138458,2013-04-02 00:00:00,FL2846408065320130401
18,28.49299,-80.64583,1.69,N,N,0.6094597730338099,0.7107106290276766,2013-04-02 00:00:00,FL2846408065320130401
19,28.48731,-80.66576,2.93,N,N,0.61109877781445,0.7114404597084164,2013-04-02 00:00:00,FL2846408065320130401
20,28.48699,-80.65928,2.75,N,N,0.6105514737353921,0.7111969372641309,2013-04-02 00:00:00,FL2846408065320130401
21,28.48634,-80.64639,2.79,N,N,0.6094597730338099,0.7107106290276766,2013-04-02 00:00:00,FL2846408065320130401
22,28.48763,-80.67226,2.93,N,N,0.6116470545374136,0.7116842282777416,2013-04-02 00:00:00,FL2846408065320130401
23,28.48666,-80.65282,2.75,N,N,0.6100051396790289,0.7109536605138458,2013-04-02 00:00:00,FL2846408065320130401
24,28.48065,-80.66629,2.93,N,N,0.61109877781445,0.7114404597084164,2013-04-02 00:00:00,FL2846408065320130401
25,28.48033,-80.65981,2.75,N,N,0.6105514737353921,0.7111969372641309,2013-04-02 00:00:00,FL2846408065320130401
26,28.48976,-80.65866,3.87,N,N,0.6100051396790289,0.7109536605138458,2013-04-02 00:00:00,FL2846408065320130401
27,28.48939,-80.65221,3.57,N,N,0.6094597730338099,0.7107106290276766,2013-04-02 00:00:00,FL2846408065320130401
28,28.48903,-80.64577,3.57,N,N,0.6089153711978051,0.7104678423768952,2013-04-02 00:00:00,FL2846408065320130401
29,28.49049,-80.67162,6.51,N,N,0.61109877781445,0.7114404597084164,2013-04-02 00:00:00,FL2846408065320130401
30,28.49012,-80.66514,3.87,N,N,0.6105514737353921,0.7111969372641309,2013-04-02 00:00:00,FL2846408065320130401
31,28.48346,-80.66564,3.87,N,N,0.6105514737353921,0.7111969372641309,2013-04-02 00:00:00,FL2846408065320130401
32,28.4831,-80.65916,3.87,N,N,0.6100051396790289,0.7109536605138458,2013-04-02 00:00:00,FL2846408065320130401
33,28.48238,-80.6463,3.57,N,N,0.6089153711978051,0.7104678423768952,2013-04-02 00:00:00,FL2846408065320130401
34,28.4917,-80.6431,1.01,N,N,0.4163465937066406,0.6106354687451716,2013-04-02 00:00:00,FL2846408065320130401
35,28.48783,-80.64216,2.98,N,N,0.41686107808458756,0.6109470386912546,2013-04-02 00:00:00,FL2846408065320130401
36,28.49298,-80.66325,1.52,N,N,0.41557721811954457,0.6101689906879271,2013-04-02 00:00:00,FL2846408065320130401
37,28.48989,-80.65062,0.94,N,N,0.4163465937066406,0.6106354687451716,2013-04-02 00:00:00,FL2846408065320130401
38,28.48646,-80.66081,0.77,N,N,0.41583336393213055,0.6103243666442603,2013-04-02 00:00:00,FL2846408065320130401
39,28.48543,-80.6566,0.92,N,N,0.4160898222746199,0.6104798592836951,2013-04-02 00:00:00,FL2846408065320130401
40,28.482,-80.66676,0.77,N,N,0.41557721811954457,0.6101689906879271,2013-04-02 00:00:00,FL2846408065320130401
41,28.48097,-80.66257,0.77,N,N,0.41583336393213055,0.6103243666442603,2013-04-02 00:00:00,FL2846408065320130401
42,28.47994,-80.65836,0.92,N,N,0.4160898222746199,0.6104798592836951,2013-04-02 00:00:00,FL2846408065320130401
43,28.48107,-80.64932,65.83,H,D,0.7030179464440254,0.7498844676503317,2013-04-02 12:00:00,FL2846408065320130401
44,28.4791,-80.65643,65.83,N,D,0.7037425547522059,0.7501695071731946,2013-04-02 12:00:00,FL2846408065320130401
45,28.47713,-80.66358,8.25,N,D,0.704468657293108,0.7504548715781765,2013-04-02 12:00:00,FL2846408065320130401
46,28.47515,-80.67077,8.25,N,D,0.7051962588098852,0.7507405615287559,2013-04-02 12:00:00,FL2846408065320130401
47,28.48975,-80.64456,28.97,H,D,0.7022948276460154,0.7495997523482016,2013-04-02 12:00:00,FL2846408065320130401
48,28.48779,-80.65167,24.75,H,D,0.7030179464440254,0.7498844676503317,2013-04-02 12:00:00,FL2846408065320130401
49,28.48583,-80.65881,24.75,H,D,0.7037425547522059,0.7501695071731946,2013-04-02 12:00:00,FL2846408065320130401
50,28.48385,-80.66597,17.18,H,D,0.704468657293108,0.7504548715781765,2013-04-02 12:00:00,FL2846408065320130401
51,28.48187,-80.67316,17.18,N,D,0.7051962588098852,0.7507405615287559,2013-04-02 12:00:00,FL2846408065320130401
52,28.49255,-80.66118,24.75,N,D,0.7037425547522059,0.7501695071731946,2013-04-02 12:00:00,FL2846408065320130401
53,28.49058,-80.66836,17.18,N,D,0.704468657293108,0.7504548715781765,2013-04-02 12:00:00,FL2846408065320130401
54,28.48052,-80.65062,59.31,N,D,0.7022948276460154,0.7495997523482016,2013-04-02 12:00:00,FL2846408065320130401
55,28.47852,-80.65771,39.37,N,D,0.7030179464440254,0.7498844676503317,2013-04-02 12:00:00,FL2846408065320130401
56,28.48926,-80.64584,59.31,H,D,0.701573193656108,0.7493153606075023,2013-04-02 12:00:00,FL2846408065320130401
57,28.48726,-80.65295,59.31,H,D,0.7022948276460154,0.7495997523482016,2013-04-02 12:00:00,FL2846408065320130401
58,28.48324,-80.6672,39.37,H,D,0.7037425547522059,0.7501695071731946,2013-04-02 12:00:00,FL2846408065320130401
59,28.48525,-80.66006,39.37,N,D,0.7030179464440254,0.7498844676503317,2013-04-02 12:00:00,FL2846408065320130401
60,28.48122,-80.67435,18.81,N,D,0.704468657293108,0.7504548715781765,2013-04-02 12:00:00,FL2846408065320130401
61,28.49198,-80.6624,8.77,N,D,0.7030179464440254,0.7498844676503317,2013-04-02 12:00:00,FL2846408065320130401
62,28.48997,-80.66956,8.77,N,D,0.7037425547522059,0.7501695071731946,2013-04-02 12:00:00,FL2846408065320130401
63,28.4639,-80.67212,19.7,N,D,0.34869833029412617,0.5668907768066499,2013-04-02 12:00:00,FL2846408065320130401
64,28.47068,-80.65442,11.08,N,D,0.34960304139057247,0.5675154484016487,2013-04-02 12:00:00,FL2846408065320130401
65,28.47008,-80.66172,15.87,N,D,0.3492405912585299,0.5672653300332771,2013-04-02 12:00:00,FL2846408065320130401
66,28.46948,-80.669,10.27,N,D,0.34887889576035286,0.5670155447501665,2013-04-02 12:00:00,FL2846408065320130401
67,28.47038,-80.65808,15.87,L,D,0.3494217218540656,0.5673903475399558,2013-04-02 12:00:00,FL2846408065320130401
68,28.46918,-80.67264,19.7,L,D,0.34869833029412617,0.5668907768066499,2013-04-02 12:00:00,FL2846408065320130401
69,28.47596,-80.65495,7.15,H,D,0.34960304139057247,0.5675154484016487,2013-04-02 12:00:00,FL2846408065320130401
70,28.47626,-80.65129,7.15,N,D,0.3497845501512699,0.5676406327022123,2013-04-02 12:00:00,FL2846408065320130401
71,28.47536,-80.66224,19.38,N,D,0.3492405912585299,0.5672653300332771,2013-04-02 12:00:00,FL2846408065320130401
72,28.47505,-80.66588,9.95,N,D,0.34905964932131756,0.5671403957978819,2013-04-02 12:00:00,FL2846408065320130401
73,28.47566,-80.6586,19.38,L,D,0.3494217218540656,0.5673903475399558,2013-04-02 12:00:00,FL2846408065320130401
74,28.47475,-80.66951,9.95,L,D,0.34887889576035286,0.5670155447501665,2013-04-02 12:00:00,FL2846408065320130401
75,28.47445,-80.67314,24.05,L,D,0.34869833029412617,0.5668907768066499,2013-04-02 12:00:00,FL2846408065320130401
76,28.48185,-80.64815,7.67,N,D,0.3499662484199503,0.5677659005256293,2013-04-02 12:00:00,FL2846408065320130401
77,28.48154,-80.65181,7.15,N,D,0.3497845501512699,0.5676406327022123,2013-04-02 12:00:00,FL2846408065320130401
78,28.48124,-80.65547,7.15,N,D,0.34960304139057247,0.5675154484016487,2013-04-02 12:00:00,FL2846408065320130401
79,28.48033,-80.6664,9.95,N,D,0.34905964932131756,0.5671403957978819,2013-04-02 12:00:00,FL2846408065320130401
80,28.48003,-80.67003,9.95,L,D,0.34887889576035286,0.5670155447501665,2013-04-02 12:00:00,FL2846408065320130401
81,28.48713,-80.64867,5.45,H,D,0.3499662484199503,0.5677659005256293,2013-04-02 12:00:00,FL2846408065320130401
82,28.48743,-80.64501,5.45,N,D,0.3501481364809816,0.5678912519560094,2013-04-02 12:00:00,FL2846408065320130401
83,28.48683,-80.65233,9.92,N,D,0.3497845501512699,0.5676406327022123,2013-04-02 12:00:00,FL2846408065320130401
84,28.48561,-80.66692,6.68,N,D,0.34905964932131756,0.5671403957978819,2013-04-02 12:00:00,FL2846408065320130401
85,28.49272,-80.64555,5.45,N,D,0.3501481364809816,0.5678912519560094,2013-04-02 12:00:00,FL2846408065320130401
86,28.49149,-80.66015,6.8,N,D,0.3494217218540656,0.5673903475399558,2013-04-02 12:00:00,FL2846408065320130401
87,28.49119,-80.66379,6.8,N,D,0.3492405912585299,0.5672653300332771,2013-04-02 12:00:00,FL2846408065320130401
88,28.49027,-80.67471,6.09,N,D,0.34869833029412617,0.5668907768066499,2013-04-02 12:00:00,FL2846408065320130401
89,28.49088,-80.66743,6.68,L,D,0.34905964932131756,0.5671403957978819,2013-04-02 12:00:00,FL2846408065320130401
90,46.06849,-116.99766,5.71,N,D,0.4892633467446713,0.6521015066790156,2013-06-08 12:00:00,WA4606511698720130608
91,46.06864,-116.99916,9.7,N,D,0.48961683029480224,0.6522903300549101,2013-06-08 12:00:00,WA4606511698720130608
92,46.08554,-116.99595,0.69,N,N,0.3884944656145518,0.36297748559691534,2013-06-09 00:00:00,WA4606511698720130608
93,46.08311,-117.00215,0.31,N,N,0.38845160766393577,0.3629586929658129,2013-06-09 00:00:00,WA4606511698720130608
94,46.08141,-116.99203,0.69,N,N,0.38853753409122865,0.3629963693042809,2013-06-09 00:00:00,WA4606511698720130608
95,46.07742,-117.0052,9.0,N,D,0.5775943310398897,0.5226745171876603,2013-06-09 12:00:00,WA4606511698720130608
96,46.08218,-117.0074,9.0,N,D,0.5775943310398897,0.5226745171876603,2013-06-09 12:00:00,WA4606511698720130608
97,46.09122,-117.00735,0.5,N,N,0.43485597100845996,0.38262602673335844,2013-06-10 00:00:00,WA4606511698720130608
98,46.08907,-117.01909,0.42,N,N,0.4351836608524951,0.38276032478204003,2013-06-10 00:00:00,WA4606511698720130608
99,46.08559,-117.02014,0.42,N,N,0.4351836608524951,0.38276032478204003,2013-06-10 00:00:00,WA4606511698720130608
100,46.07475,-117.01456,0.73,N,N,0.43469262211086224,0.38255905822761826,2013-06-10 00:00:00,WA4606511698720130608
101,46.0899,-117.0011,3.4,L,D,0.6332292158011757,0.7211341923440032,2013-06-10 12:00:00,WA4606511698720130608
102,46.08272,-117.02177,5.32,L,D,0.6349975650538879,0.7218961354504257,2013-06-10 12:00:00,WA4606511698720130608
103,39.1489,-96.7437,5.07,N,D,0.3932778778692413,0.5963557071265192,2013-11-14 12:00:00,KS3914109677420131117
104,39.15011,-96.73928,10.24,L,D,0.3930485263933073,0.5962106079919395,2013-11-14 12:00:00,KS3914109677420131117
105,39.1566,-96.73711,10.24,N,D,0.392819440363348,0.5960656135124964,2013-11-14 12:00:00,KS3914109677420131117
106,39.15302,-96.75023,5.07,N,D,0.39350749523968137,0.5965009110342027,2013-11-14 12:00:00,KS3914109677420131117
107,39.15775,-96.73289,12.51,L,D,0.3925906193318558,0.5959207235704215,2013-11-14 12:00:00,KS3914109677420131117
108,39.1475,-96.75369,7.81,N,D,0.46474529901856526,0.47478574970463294,2013-11-15 12:00:00,KS3914109677420131117
109,39.15188,-96.75442,5.89,N,D,0.46474529901856526,0.47478574970463294,2013-11-15 12:00:00,KS3914109677420131117
110,39.16858,-96.81727,49.97,N,D,0.46139851228087825,0.4732521815564457,2013-11-15 12:00:00,KS3914109677420131117
111,39.15544,-96.77375,88.96,N,D,0.3959014070734421,0.36620705766689243,2013-11-17 12:00:00,KS3914109677420131117
112,39.15877,-96.77466,88.96,N,D,0.3959014070734421,0.36620705766689243,2013-11-17 12:00:00,KS3914109677420131117
113,39.15726,-96.78373,21.56,N,D,0.39604460039510414,0.36626913810707845,2013-11-17 12:00:00,KS3914109677420131117
114,39.1565,-96.78826,21.56,N,D,0.3961165395384232,0.3663003217781833,2013-11-17 12:00:00,KS3914109677420131117
115,39.15574,-96.79279,3.92,N,D,0.39618870723414085,0.36633160114180935,2013-11-17 12:00:00,KS3914109677420131117
116,39.16058,-96.78465,10.82,N,D,0.39604460039510414,0.36626913810707845,2013-11-17 12:00:00,KS3914109677420131117
117,39.15982,-96.78918,10.82,N,D,0.3961165395384232,0.3663003217781833,2013-11-17 12:00:00,KS3914109677420131117
118,39.15907,-96.79371,26.02,N,D,0.39618870723414085,0.36633160114180935,2013-11-17 12:00:00,KS3914109677420131117
119,39.16239,-96.79462,26.02,N,D,0.39618870723414085,0.36633160114180935,2013-11-17 12:00:00,KS3914109677420131117
120,39.16163,-96.79917,26.02,N,D,0.3962611036560777,0.3663629762420256,2013-11-17 12:00:00,KS3914109677420131117
121,39.16496,-96.80009,9.76,N,D,0.3962611036560777,0.3663629762420256,2013-11-17 12:00:00,KS3914109677420131117
122,39.1642,-96.80463,9.2,N,D,0.39633372897865876,0.36639444712304586,2013-11-17 12:00:00,KS3914109677420131117
123,39.16828,-96.80101,9.76,N,D,0.3962611036560777,0.3663629762420256,2013-11-17 12:00:00,KS3914109677420131117
124,39.1718,-96.77158,1.98,N,D,0.32815806464001956,0.552383107420666,2013-11-19 12:00:00,KS3914109677420131117
