,Lat,Lon,FRP,Confidence,DNFlag,DT,DS,t,Event_ID
0,34.9042,-76.39468,3.05,N,D,0.4430943237003418,0.38598404470018177,2024-04-08 12:00:00,NC3490007638220240408
1,34.90355,-76.3878,2.44,N,D,0.4436357485350119,0.38620340914159595,2024-04-08 12:00:00,NC3490007638220240408
2,34.90295,-76.39266,2.44,N,D,0.443454918194749,0.38613016166884545,2024-04-08 12:00:00,NC3490007638220240408
3,34.90236,-76.39752,2.08,N,D,0.4432744434281569,0.38605704022873055,2024-04-08 12:00:00,NC3490007638220240408
4,34.90886,-76.40369,7.69,N,D,0.4430943237003418,0.38598404470018177,2024-04-08 12:00:00,NC3490007638220240408
5,34.90826,-76.40855,70.8,N,D,0.4429145584778556,0.3859111749624098,2024-04-08 12:00:00,NC3490007638220240408
6,34.913,-76.39948,7.69,N,D,0.4432744434281569,0.38605704022873055,2024-04-08 12:00:00,NC3490007638220240408
7,34.9124,-76.40434,7.69,N,D,0.4430943237003418,0.38598404470018177,2024-04-08 12:00:00,NC3490007638220240408
8,34.9118,-76.40919,70.8,L,D,0.4429145584778556,0.3859111749624098,2024-04-08 12:00:00,NC3490007638220240408
9,34.91535,-76.40984,235.64,H,D,0.4429145584778556,0.3859111749624098,2024-04-08 12:00:00,NC3490007638220240408
10,36.44294,-99.9547,17.32,N,D,0.4140465720979608,0.3739698572377743,2024-02-27 12:00:00,OK3643909995620240227
11,36.44213,-99.95926,17.32,L,D,0.41416580439263695,0.37402018881589677,2024-02-27 12:00:00,OK3643909995620240227
12,36.46828,-99.86937,1.38,N,N,0.564036286125836,0.6897913314345755,2024-02-28 00:00:00,OK3643909995620240227
13,36.43865,-99.77084,1.38,N,N,0.5716157981496901,0.6933781690937638,2024-02-28 00:00:00,OK3643909995620240227
14,36.43662,-99.77117,1.56,N,N,0.5720962006926057,0.6936041679026514,2024-02-28 00:00:00,OK3643909995620240227
15,36.30167,-99.83772,2.5,N,D,0.4302272775707682,0.4586065887699647,2024-02-28 12:00:00,OK3643909995620240227
16,36.31421,-99.77416,4.87,N,D,0.40339762459732065,0.6026956779839305,2024-03-11 12:00:00,OK3643909995620240227
17,36.31394,-99.77876,4.87,N,D,0.4031564206192955,0.602545964370528,2024-03-11 12:00:00,OK3643909995620240227
