UTC	Local	fline_area_km2	fperim_area_km2	nfp_area_km2	fline	fperim	nfp	u_mean	v_mean	ws_mean	wd_mean	d2m	lh	lw	m1	m10	m100	sp	t2m	tp	230evt	230fbfm13	230fbfm40	240roads_23	adj	asp2020	cbd	cbh	cc	ch	elev2020	slpd2020	mean_rh	vpd
2021-08-14 19:00:00	2021-08-14 11:00:00							2.602008	-0.876870	2.745787	288.623692	5.190332	41.061905	67.039391	4.854450	6.796900	6.704976	84990.468750	31.360559	0.003665													19.276894	3.701670
2021-08-14 19:30:00	2021-08-14 11:30:00																																	
2021-08-14 20:00:00	2021-08-14 12:00:00							3.564850	-0.135562	3.567426	272.177754	5.294550	41.061905	67.039391	4.568453	6.569901	6.681253	84966.820312	32.042535	0.004085													18.681693	3.875806
2021-08-14 20:30:00	2021-08-14 12:30:00																																	
2021-08-14 21:00:00	2021-08-14 13:00:00							4.690539	-0.182183	4.694076	272.224276	5.577631	41.061905	67.039391	4.496323	6.376192	6.659152	84968.304688	32.046075	0.005782													19.049360	3.859054
2021-08-14 21:30:00	2021-08-14 13:30:00																																	
2021-08-14 22:00:00	2021-08-14 14:00:00							5.090528	-0.882724	5.166495	279.837566	6.190027	41.061905	67.039391	4.619889	6.228794	6.640392	85012.562500	31.373285	0.132298													20.647046	3.641470
2021-08-14 22:30:00	2021-08-14 14:30:00																																	
2021-08-14 23:00:00	2021-08-14 15:00:00							5.182838	-1.998221	5.554701	291.083931	6.223932	41.061905	67.039391	4.711714	6.100125	6.622405	84964.273438	30.931085	0.251994													21.222500	3.525290
2021-08-14 23:30:00	2021-08-14 15:30:00																																	
2021-08-15 00:00:00	2021-08-14 16:00:00							4.666883	-1.079252	4.790051	283.021171	7.330927	39.963509	66.340416	4.885525	6.006167	6.607099	84964.671875	29.787042	0.287118													24.450685	3.166658
2021-08-15 00:30:00	2021-08-14 16:30:00																																	
2021-08-15 01:00:00	2021-08-14 17:00:00							3.833702	-2.586185	4.624459	304.003292	7.650995	39.963509	66.340416	5.089175	5.941769	6.594229	84936.164062	29.052301	0.003683													26.072336	2.970266
2021-08-15 01:30:00	2021-08-14 17:30:00																																	
2021-08-15 02:00:00	2021-08-14 18:00:00							3.063679	-1.242450	3.306026	292.074621	8.522302	39.963509	66.340416	5.326827	5.907710	6.584145	84924.570312	27.582330	0.003902													30.131231	2.577440
2021-08-15 02:30:00	2021-08-14 18:30:00																																	
2021-08-15 03:00:00	2021-08-14 19:00:00							1.564177	-0.993455	1.852998	302.420822	9.446161	39.963509	66.340416	5.935769	5.965220	6.583760	84946.859375	25.707422	0.021646													35.811732	2.120613
2021-08-15 03:30:00	2021-08-14 19:30:00																																	
2021-08-15 04:00:00	2021-08-14 20:00:00							0.242046	-0.930149	0.961126	345.413826	10.560968	39.963509	66.340416	6.680289	6.096993	6.591997	84977.601562	24.333246	0.032281													41.880423	1.769233
2021-08-15 04:30:00	2021-08-14 20:30:00																																	
2021-08-15 05:00:00	2021-08-14 21:00:00							-0.857175	-1.197780	1.472897	35.588905	10.327753	39.963509	66.340416	7.126175	6.230162	6.601593	84992.750000	23.058588	0.032283													44.519761	1.564215
2021-08-15 05:30:00	2021-08-14 21:30:00																																	
2021-08-15 06:00:00	2021-08-14 22:00:00							-1.491413	-1.496611	2.112855	44.900314	10.332513	39.963509	66.340416	7.363932	6.353981	6.611387	84983.218750	21.617365	0.032283													48.611897	1.327300
2021-08-15 06:30:00	2021-08-14 22:30:00																																	
2021-08-15 07:00:00	2021-08-14 23:00:00							-1.511557	-1.925169	2.447668	38.137405	9.500970	39.963509	66.340416	7.560823	6.480708	6.622613	84940.210938	20.600122	0.032283													48.937298	1.239072
2021-08-15 07:30:00	2021-08-14 23:30:00																																	
2021-08-15 08:00:00	2021-08-15 00:00:00							-1.799634	-1.132317	2.126223	57.822189	9.593378	39.963509	66.340416	7.578595	6.581427	6.632148	84925.023438	19.907892	0.032283													51.394000	1.130081
2021-08-15 08:30:00	2021-08-15 00:30:00																																	
2021-08-15 09:00:00	2021-08-15 01:00:00							-2.369691	-1.134937	2.627455	64.408432	9.710596	39.963509	66.340416	7.579050	6.671531	6.641425	84905.726562	19.289789	0.032283													53.827279	1.033085
2021-08-15 09:30:00	2021-08-15 01:30:00	1.710000	2.430000	0.810000	19.000000	27.000000	9.000000																											
2021-08-15 10:00:00	2021-08-15 02:00:00							-2.761162	-0.749480	2.861073	74.813736	9.857385	39.963509	66.340416	7.480797	6.735719	6.648682	84861.132812	18.737360	0.032283													56.266239	0.945369
2021-08-15 10:30:00	2021-08-15 02:30:00																																	
2021-08-15 11:00:00	2021-08-15 03:00:00							-2.944477	-0.719933	3.031213	76.260559	9.950403	39.963509	66.340416	7.367565	6.782537	6.654613	84854.945312	18.348779	0.032283													58.012683	0.885802
2021-08-15 11:30:00	2021-08-15 03:30:00																																	
2021-08-15 12:00:00	2021-08-15 04:00:00							-3.136238	-0.431352	3.165762	82.168777	10.051050	39.963509	66.340416	7.197060	6.804565	6.658255	84827.398438	17.969476	0.032283													59.813152	0.827862
2021-08-15 12:30:00	2021-08-15 04:30:00																																	
2021-08-15 13:00:00	2021-08-15 05:00:00							-2.390807	-0.327522	2.413137	82.199463	10.134515	39.963509	66.340416	7.045533	6.812639	6.660563	84827.875000	17.537103	0.032281													61.809259	0.765601
2021-08-15 13:30:00	2021-08-15 05:30:00																																	
2021-08-15 14:00:00	2021-08-15 06:00:00							-3.042904	-0.650981	3.111758	77.924500	10.434351	39.963509	66.340416	6.983039	6.822380	6.663109	84843.757812	17.707574	0.032281													62.386487	0.762179
2021-08-15 14:30:00	2021-08-15 06:30:00																																	
2021-08-15 15:00:00	2021-08-15 07:00:00							-3.202183	-0.412199	3.228605	82.664963	11.918451	39.963509	66.340416	6.836037	6.810341	6.663363	84845.867188	21.727777	0.032281													53.647560	1.205339
2021-08-15 15:30:00	2021-08-15 07:30:00																																	
2021-08-15 16:00:00	2021-08-15 08:00:00							-2.492215	-0.452423	2.532947	79.710876	6.683801	39.963509	66.340416	6.309929	6.717666	6.654750	84831.726562	27.422327	0.032281													26.823809	2.674324
2021-08-15 16:30:00	2021-08-15 08:30:00																																	
2021-08-15 17:00:00	2021-08-15 09:00:00							-2.876211	-0.285825	2.890378	84.324814	5.634027	39.963509	66.340416	5.642081	6.560269	6.638293	84817.523438	30.026178	0.032281													21.454106	3.337761
2021-08-15 17:30:00	2021-08-15 09:30:00																																	
2021-08-15 18:00:00	2021-08-15 10:00:00							-2.612322	-0.343491	2.634808	82.509216	5.465265	39.963509	66.340416	4.940001	6.350609	6.614787	84804.648438	31.551019	0.032281													19.438207	3.734411
2021-08-15 18:30:00	2021-08-15 10:30:00																																	
